text,migration_relevance,compound_polarity,negative_polarity,neutral_polarity,positive_polarity
like i really still look like a little lost freshman on campus everydaya whole year amp i still have no idea where im going lol,0.0,0.5563,0.145,0.586,0.269
monarch513 jlasuccess mrsguss nora_monty shakhenba3 scamp246 georgeinbelfast dsecretconfess mydago have a wndrful humping day,0.0,0.0,0.0,1.0,0.0
extremely sexy blonde with nice body caty campbell sucks the dick -,0.0,0.1761,0.301,0.363,0.337
rt yoifeellike mitchie from camp rock when everyone found out her mother was not the president of hot tunes tv,0.0,0.0,0.0,1.0,0.0
rt 5sosgermanyteam ashton and bryana with canadafor5sos yesterday in ny j,0.0,0.0,0.0,1.0,0.0
rt erickolguin15 miss my homie chavez on the field _campbellsoupp michaelvilla09,0.0,-0.1531,0.138,0.862,0.0
rt maomaosforehead some infamous hyolo wordswhoopi goldenretrieverbrian mcmorningunderground eyelinerfire fighter campfirerela,0.0,0.1531,0.0,0.862,0.138
milliken realtree max 4 solid border area rug,0.0,0.1531,0.0,0.789,0.211
rt why_not_islam tears of joy from a muslim girl in germany after supreme court in karlsruhe allows wearing hijab in schools,0.0,0.7579,0.072,0.646,0.281
you have giant hands jordansweeto,0.0,0.0,0.0,1.0,0.0
the back pain book a self-help guide for the daily relief of back and neck pain,0.0,-0.5423,0.304,0.553,0.143
rt jordanmabrie donald trump,0.0,0.0,0.0,1.0,0.0
we launched our 1st crowdfunding campaign today 10 you will give artsed to a student for a year rt plz,0.0,0.2023,0.0,0.851,0.149
biggest refugee crisis since wwii and american media blows over it with the latest on kim k ever growing ass sad,0.0,-0.875,0.377,0.563,0.06
rt wellchamber news 750000 funding for small rural county firms as part of _northantseps campaign,0.0,0.0,0.0,1.0,0.0
rt ajordangoat23 see why nicki cussed out miley mileywhatsgood mileycyrus,0.0,0.0,0.0,1.0,0.0
arielcampbell im flying on the 12th so i have like 2 days hahahah im hoping i have the time to catch it first,0.0,0.6786,0.0,0.763,0.237
shocks as for set apart but suborder deep space impbq,0.0,-0.2023,0.167,0.833,0.0
rt lilwaynker i told louis i saw 3 concerts and i was like sorry im a loser and he was like borderline superfan eh im trash,0.0,0.0772,0.176,0.637,0.187
nike foamposite pro blackgreenred pre-order mens gs jordan 1 5 6 7 9 11,0.0,0.0,0.0,1.0,0.0
lee camp afcb rufc,0.0,0.0,0.0,1.0,0.0
2 person camping instant tent hiking ultra lightweight scout outdoor waterproof at tactical gear zone -gt tents c,0.0,0.2732,0.0,0.877,0.123
rt athlete__tweet why cant nike and jordan have this material on their shoes,0.0,0.0,0.0,1.0,0.0
dont hesitate to show some humanity immigrant crisis,0.0,-0.5083,0.344,0.504,0.152
rt studeboy their newborn was covered in hundreds of birthmarks but look at her 19 years later,0.0,0.0,0.0,1.0,0.0
rt sunny_hundal excellent attack by yvette cooper on how uk govt has responded to the refugee crisis in speech today,0.0,-0.5423,0.258,0.609,0.133
rt imiasanmia lewandowski on instagram preparations for the match against germany are on the right track,0.0,0.0,0.0,1.0,0.0
rt iran_policy campliberty siege obstructing entry of clothes breach of mou between un amp iraq disappeared freethe7,0.0,-0.2263,0.106,0.894,0.0
changing my avatar to support simoncommunity simonforecast campaign plse visit amp send your letter to govt,0.0,0.4019,0.0,0.847,0.153
agatapyzik the more open a countrys borders the more flexible its work conditions--thats inevitable no,0.0,-0.0018,0.134,0.732,0.134
rt derasachasauda can u complete the tagline of cleanliness campaigns 4 a msgswachhbharat being conducted by dss since 2011 ho prith,0.0,0.0,0.0,1.0,0.0
bad memories please dont do it migrantcrisis,0.0,-0.296,0.324,0.463,0.213
jordanaxt and if you prefer to keep things simple theres probably some room between crisis and great,0.0,0.0,0.177,0.647,0.177
rt irishinbritain this powerful image has been shared across irish social media does it strike a cord with you refugeecrisis,0.0,0.631,0.065,0.691,0.244
rt ontmmah moving off-campus and renting for the first time learn more about renting students,0.0,0.0,0.0,1.0,0.0
rt jordanems never gets old,0.0,0.0,0.0,1.0,0.0
jordanjohnson09 lol he can hit it though everyone strikes out cards gonna win everything so it doesnt even matter,0.0,0.6157,0.142,0.596,0.262
rt mailchimp optimize your email with powerful ab testing test the content of your campaigns with up to 3 variations at a time http,0.0,0.7184,0.0,0.769,0.231
sensex rises on mat relief to foreign investors bse sensex and nifty opened higher today despite global marke,0.0,0.7003,0.0,0.734,0.266
air jordan 11 xi retro low ds size 85 bred blackred playoff,0.0,-0.2732,0.16,0.84,0.0
ks valut special air jordan 5 retro black metallic silver from 1999 ds never worn no cracking or,0.0,0.6679,0.0,0.684,0.316
rt fretsward aka_mick huffpostmedia this little la raza bastard is an enemy of the us his family has infiltrated the clinton campaign,0.0,-0.7741,0.252,0.748,0.0
rt botakajordan if the world only knew what this means to me cant hold my emotions god is good proud lufc lufc,0.0,0.7964,0.0,0.701,0.299
jordanle123 im not laughing jordan,0.0,-0.3875,0.396,0.604,0.0
your position on refugees is tantamount to jumping in the water to save someone or standing by and letting them drown refugeecrisis eu,0.0,-0.128,0.133,0.753,0.115
rt yeezycentral kanye west amp kim kardashian for alexanderwangny do something campaign shot by steven klein,0.0,0.0,0.0,1.0,0.0
rt 0hbaepost their newborn was covered in hundreds of birthmarks but look at her 19 years later,0.0,0.0,0.0,1.0,0.0
shoes air jordan 5 black quai 54 v sample pe sneaker size 85 friends,0.0,0.4767,0.0,0.78,0.22
dead bc of _mcampbell16s tweetsim the only one who even understand,0.0,-0.6486,0.301,0.699,0.0
rt adamcrafton_ message from de gea camp tonight is he goes back to mufc determined to win his place back no sulking and he strives to,0.0,0.3612,0.143,0.669,0.188
rt venturebeat cortana can now handle translations for you by jordannovet,0.0,0.0,0.0,1.0,0.0
rt jordanmabrie donald trump,0.0,0.0,0.0,1.0,0.0
rt putneydebates bonn1egreer jackjoh01219520 amolrajan this by gkbhambra excellent on migrant vs citizen narrative,0.0,0.5719,0.0,0.778,0.222
rt jackharries this snazzy looking coffee machine arrived in the studio this morning,0.0,0.0,0.0,1.0,0.0
rt kencampbell66 obama will do deals with the taliban but not congress what does that say about him he wont help the syrian govt but,0.0,-0.438,0.107,0.893,0.0
rt guardianus rob ford and canadians laugh off scott walkers off the wall border idea,0.0,0.0,0.178,0.644,0.178
rt saviojoseph the new vista print campaign has made a sector like printing seem so interesting,0.0,0.7177,0.0,0.685,0.315
rt csanfilippo01 the secret to running smarter retargeting campaigns - via dynamicyield,0.0,0.4588,0.0,0.769,0.231
rt hashafidh jordanian pilot burnt to death by isis - international outrage media all over the story4 shia iraqis face same fate amp i,0.0,-0.802,0.265,0.735,0.0
rt citizentommy actor tomurie comedian janeygodley disability rights campaigner susanarchibald will join scores of bands amp speakers,0.0,0.5859,0.0,0.758,0.242
if u allow d stupidity of wsu 2 stand on their pc ignorance u accept d same path done 2 d jews n nazi germany haters murder,0.0,-0.8689,0.432,0.422,0.146
i only pray our players remain healthy n were more efficient in our play stay focused i hope to see joel campbell have a fair chance,0.0,0.9538,0.0,0.408,0.592
rt derasachasauda cleanliness campaigns msgswachhbharat missioninitiated since 2011 by gurmeetramrahim to counter dangerous diseases h,0.0,-0.4767,0.193,0.807,0.0
photos of migrants hiding in car engine to enter spain ngtrends,0.0,-0.296,0.18,0.82,0.0
kocampo17 mcdo,0.0,0.0,0.0,1.0,0.0
rt boxoffice straight outta compton took in 134m on monday domestic total stands at 13536m straightouttacompton,0.0,0.2263,0.0,0.888,0.112
rt john3ners slatukip 1 of their directors is also dir of chartwell political james pryor of chll pol iswas campaign director for uk,0.0,0.0,0.0,1.0,0.0
eravani eravaniintroduction success the introduction ep campaign this fall amp winter watch,0.0,0.5719,0.0,0.748,0.252
rt trendinghangout miamicelebs9 jordan hinson nude watch jordanhinson celebrity fappieren london nyc,0.0,0.0,0.0,1.0,0.0
rt cmomaharashtra cm dev_fadnavis visits ration shopdistributes food grains amp interacts with farmers in yerollaturdroughtrelief htt,0.0,0.0,0.0,1.0,0.0
rt mrsannetwist im supporting antibullyingpro back2school campaign by sharing my school photo get involved htt,0.0,0.6908,0.0,0.695,0.305
rt iandunt germany has a 10-point plan for refugees britain refuses to even discuss it,0.0,0.0,0.0,1.0,0.0
joye has a friend who is collecting needed items to take to calais for refugees in need of help details about,0.0,0.7096,0.0,0.753,0.247
nike air jordan retro xi 11 cool grey sz 12 space jam concord,0.0,0.3612,0.0,0.759,0.241
rt jordanmabrie donald trump,0.0,0.0,0.0,1.0,0.0
rt i_yler alexander wangs new campaign do something features kim amp kanye,0.0,0.0,0.0,1.0,0.0
rt chadjordan23 when a hoe talks about another hoe,0.0,0.0,0.0,1.0,0.0
rt randallsan love this song rt itsgabbydiaz_ majid jordan gives us a visual for my love feat drake -,0.0,0.8555,0.0,0.641,0.359
rt coliegestudent parking on campus,0.0,0.0,0.0,1.0,0.0
rt free_media_hub refugee not migrant sign the new petition for refugee awareness refugees syria buypens htt,0.0,0.0,0.0,1.0,0.0
germany with power training gear yet again leetasker1,0.0,0.0,0.0,1.0,0.0
coachhuck22 you made me love basketball summer camp i caught a rebound drove up court got an assist you said it was great motivator,0.0,0.8519,0.0,0.707,0.293
rt reutersuk migrant trains reach germany as eu asylum system creaks,0.0,0.0258,0.0,0.901,0.099
rt ryry_elliott started an application for camp america,0.0,0.0,0.0,1.0,0.0
rt neykodominguez i have lost this puppy in springfield by sunshine and campbell please rt only_in_spfd,0.0,0.4939,0.116,0.606,0.278
watched on periscope talking to ronzheimer about his refugee story and periscope,0.0,0.0,0.0,1.0,0.0
botakajordan lets see the skills this season lufc,0.0,0.0,0.0,1.0,0.0
rt welcomeovo majid jordan my love feat drake video now playing on the ovo blog,0.0,0.7184,0.0,0.684,0.316
rt theonlycelia oh thank goodness this is somehow a relief from yesterdays anticipation delimabringthetruth delimadonotresign http,0.0,0.8402,0.0,0.524,0.476
it only takes 8 minutes to walk across campus oops,0.0,0.0,0.0,1.0,0.0
rt utsaquidditch club quidditch tryouts are today so excited to see you all out on utsacampusrec field 1 today at 530 pm dont miss,0.0,0.5515,0.0,0.822,0.178
grateful i got a job on campus that doesnt involve working in the union,0.0,0.4588,0.0,0.786,0.214
rt abcnews24 refugees dont have to be a burden they can make contributions if our policies enable them to - alexander_betts http,0.0,-0.4404,0.132,0.868,0.0
rt missinfo majidjordan and drakes my love video is here watch now,0.0,0.6369,0.0,0.724,0.276
rt annelamott very much in favor of chris christies plan to use fed ex tracking techniques on immigrants but what if no one is home to,0.0,-0.2067,0.097,0.834,0.069
dior video campaign available for homme winter collection via yahoonews,0.0,0.0,0.0,1.0,0.0
shoes air jordan 6 vi mvp history of jordan spizike mens size 11,0.0,0.0,0.0,1.0,0.0
lizzycampbell jobabe032 chest,0.0,0.0,0.0,1.0,0.0
muse viktoriia krutskikh mouro art muses fantasyart in photography 2015 on the borders of the ancient,0.0,0.0,0.0,1.0,0.0
rt ruptly refugee influx prompts police to shut down budapest main stationfull video,0.0,0.0,0.0,1.0,0.0
what a relief,0.0,0.4767,0.0,0.244,0.756
amant - if theres love 699 amant disco vinyl records arrived in stock see,0.0,0.6369,0.0,0.741,0.259
acnes creative director taps his 12-year-old son to model in his latest womens wear campaignand the results awesome,0.0,0.7906,0.0,0.696,0.304
rt harleydavidson sdharley took inspiration from a 45 wl45 us navy flathead for their hdstreet hdcustomkings build rollyourown h,0.0,0.5267,0.0,0.825,0.175
rt gigjap 926sta rivierawomb crossinggirlsgirlswomb tokyo riviera sapporo noriyukiomoto gigjap,0.0,0.0,0.0,1.0,0.0
in the path of one refugee dw news our reporter talked to one syrian refugee who like thousands of others,0.0,0.3612,0.0,0.884,0.116
james okeefe a political sleuth to stalk campaigns for wrongdoing via nytpolitics,0.0,0.0,0.0,1.0,0.0
hungary superb eastern imperial eagles long eared owls so close middle-spotted woodpeckers hawfinches showing v well top day in hot sun,0.0,0.7906,0.0,0.68,0.32
shoes ds 105 air jordan toro bravo 4s new with original box sneakers,0.0,0.3182,0.0,0.839,0.161
rt roseunwin britains welcome to refugees in the past,0.0,0.4588,0.0,0.727,0.273
watch halo 5 opening cinematic the opening cinematic for the halo 5 guardians campaign has been released,0.0,0.0,0.0,1.0,0.0
circles2015 dfwwordcamp and now pressnomics i guess im getting serious about this whole wordpress thing,0.0,-0.0772,0.091,0.909,0.0
rt jordanjordanq98 arathortiz secretly iam,0.0,0.0,0.0,1.0,0.0
cheekylatte mahoney2john hillchaser the eu is paying net contributor countries 6000 per migrantthe eu gets the money from taxpayers,0.0,0.0,0.0,1.0,0.0
migrant chaos at budapest train station times of india allthenews,0.0,-0.5719,0.291,0.709,0.0
rt bigstarlet once people fled germany it is now the promised land refugeeswelcome,0.0,0.3612,0.0,0.828,0.172
rt rapup video majid jordan feat drake - my love,0.0,0.6369,0.0,0.656,0.344
disambiguated highly unlikely that the turk one was ever used to cross a border for reasons previously mentioned,0.0,0.0,0.0,1.0,0.0
_yxsxr rt utdreports message from de gea camp tonight is he goes back to manchester united determined to win his p,0.0,0.8402,0.0,0.654,0.346
nah the ones you see on that campus dont stand out,0.0,-0.1027,0.123,0.877,0.0
rt jordanjumzz its so crazy to me how u can get to know someone else better than you even know yourself,0.0,-0.0557,0.13,0.749,0.121
rt madhu03_ dance for democracyd4dinnovative political campagning by the youth opens the show with umeedon wali dhoopsunshine wali aa,0.0,0.0,0.0,1.0,0.0
rt sailingnewsonly sailing sailingnews austria and netherlands take 49er youth world honours,0.0,0.4939,0.0,0.775,0.225
coach bronco speaking before heading to nebraska beatnebraska byufootball byu,0.0,0.0,0.0,1.0,0.0
rt yoanty1 the air jordan laser 1 is the most comfortable jordan 1 ever made and i cant tell you why,0.0,0.5563,0.0,0.826,0.174
air jordan 14 retro black vibrant yellow size11,0.0,0.5267,0.0,0.673,0.327
rt leukaemiacareuk today marks the start of bloodcancerawarenessmonth join our campaign amp spread the word about blood cancers,0.0,0.296,0.0,0.885,0.115
whataburger on utsa campus would be perf,0.0,0.0,0.0,1.0,0.0
ukip will launch its own campaign against staying in the eu and not join the other two existing no groups mailonline,0.0,-0.4745,0.177,0.823,0.0
i just took in that mr krabs and plankton are the same age wtf,0.0,-0.5859,0.241,0.759,0.0
live on periscope atlanta to germany airport,0.0,0.0,0.0,1.0,0.0
sog knife assisted opening hot black pocket camping stainless steel saber 64hu - full read,0.0,0.0,0.0,1.0,0.0
rt aptly_engineerd sigal said an african refugee child she works with asked if she could grow up to be white so she wouldnt have to fa,0.0,0.0,0.0,1.0,0.0
rt sofiaorden refugee studies centre - oxford university sociology 381702421 free sociology 381702421,0.0,0.5106,0.0,0.769,0.231
shoes air jordan fear pack 3 size 105 deadstock,0.0,-0.4939,0.314,0.686,0.0
rt 10and5 join our team were looking for a creative projects manager to work across campaigns projects and events details,0.0,0.6249,0.0,0.769,0.231
wikipedia bans hundreds of black hat paid editors who created promotional pages its site sometimes wikipedi,0.0,0.25,0.0,0.882,0.118
rt jordan_housh stressing so much,0.0,-0.3612,0.385,0.615,0.0
rt postlike_girl their newborn was covered in hundreds of birthmarks but look at her 19 years later,0.0,0.0,0.0,1.0,0.0
rt davehytner wenger will not do anything today either incoming or outgoing joel campbell an unused sub at newc on sat set to stay a,0.0,0.296,0.0,0.913,0.087
new video majid jordan my love drake official video majidjordandrake,0.0,0.6369,0.0,0.682,0.318
rt gafollowers people are camping outside a new chickfila opening 92 by perimeter mall for free food for a year for the first 100 http,0.0,0.5106,0.0,0.87,0.13
fun fact walking around campus all day with a backpack that weighs the same as a small child isnt a good time rip2myshoulders,0.0,0.2249,0.101,0.759,0.139
migrant chaos at budapest train station - send them fight isis first,0.0,-0.743,0.412,0.588,0.0
rt tomgara chipotle rolling out delivery to dozens of college campuses this fall,0.0,0.0,0.0,1.0,0.0
rt tayhundreds minor shit,0.0,-0.5574,0.545,0.455,0.0
thanks for the follow doechaser1 let us know if we can ever be of any assistance,0.0,0.4404,0.0,0.838,0.162
rt mashable hungary shuts budapest train station leaving migrants stranded,0.0,0.0,0.0,1.0,0.0
fleetstreetfox people are ignoring the politicians the racists and turning out to help the refugees they get it,0.0,-0.5423,0.259,0.628,0.113
rt abeaboraya new 48 million health building coming to seminolestate altamonte springs campus another public-private partnership,0.0,0.0,0.0,1.0,0.0
shoes jordan xi low cobalt size 95,0.0,-0.2732,0.259,0.741,0.0
collegelife new musick camp ft jeremih change collegelifeshop,0.0,0.0,0.0,1.0,0.0
rt brad_carpenter rt carolcampbell4 new resource for school leaders using student voice to inform literacy improvement planning http,0.0,0.4588,0.0,0.85,0.15
rt kimkanyekimyefc kanyewest amp kimkardashian for alexanderwangny do something campaign shot by steven klein,0.0,0.0,0.0,1.0,0.0
rt drudge_report_ murder of elderly couple in sicily fuels italys growing anti-immigrant sentiment anncoulter,0.0,-0.6124,0.255,0.652,0.092
